date,season,venue,home_team,away_team,ht_home_score,ht_away_score,home_score,away_score,home_possession_%,away_possession_%,home_shots_on_target,away_shots_on_target,home_shots,away_shots,home_touches,away_touches,home_passes,away_passes,home_tackles,away_tackles,home_clearances,away_clearances,home_corners,away_corners,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls,away_fouls,referee
08/08/2015,15/16,"Old Trafford, Manchester",Manchester United,Tottenham,1,0,1,0,0.5,0.5,1,4,9,9,675,679,487,487,21,26,30,20,1,2,1,2,2,3,0,0,12,12,Jonathan Moss
08/08/2015,15/16,"Carrow Road, Norwich",Norwich City,Crystal Palace,0,1,1,3,0.62,0.37,6,7,17,11,652,450,470,272,20,14,26,34,1,4,4,2,1,0,0,0,14,20,Simon Hooper
08/08/2015,15/16,"King Power Stadium, Leicester",Leicester,Sunderland,3,0,4,2,0.44,0.56,8,5,20,11,544,636,342,442,19,19,21,14,6,3,0,1,2,4,0,0,13,17,Lee Mason
08/08/2015,15/16,"Goodison Park, Liverpool",Everton,Watford,0,1,2,2,0.66,0.33,5,5,10,11,774,510,558,286,14,25,25,53,8,2,4,1,1,2,0,0,7,13,Mike Jones
08/08/2015,15/16,"Goldsands Stadium, Bournemouth",Bournemouth,Aston Villa,0,0,0,1,0.58,0.41,2,3,11,7,747,604,548,391,14,24,16,39,6,3,0,0,3,4,0,0,13,13,Mark Clattenburg
08/08/2015,15/16,"Stamford Bridge, London",Chelsea,Swansea,2,1,2,2,0.52,0.48,3,10,11,17,635,616,433,399,16,22,14,29,4,8,2,4,1,3,1,0,15,16,Michael Oliver
09/08/2015,15/16,"St. James' Park, Newcastle",Newcastle United,Southampton,1,1,2,2,0.56,0.43,4,4,9,14,698,606,485,389,13,18,24,32,6,6,0,3,2,4,0,0,9,12,Craig Pawson
09/08/2015,15/16,"Emirates Stadium, London",Arsenal,West Ham,0,1,0,2,0.61,0.38,6,4,22,8,781,538,556,359,12,21,18,25,5,4,3,1,1,3,0,0,12,9,Martin Atkinson
09/08/2015,15/16,"bet365 Stadium, Stoke",Stoke,Liverpool,0,0,0,1,0.47,0.53,1,3,7,8,607,676,412,478,25,19,16,33,3,5,3,2,2,4,0,0,9,16,Anthony Taylor
10/08/2015,15/16,"The Hawthorns, West Bromwich",West Brom,Man City,0,2,0,3,0.3,0.69,2,7,9,20,502,921,328,764,17,10,21,21,6,6,2,0,4,1,0,0,12,9,Mike Dean
