date,season,venue,home_team,away_team,ht_home_score,ht_away_score,home_score,away_score,home_possession_%,away_possession_%,home_shots_on_target,away_shots_on_target,home_shots,away_shots,home_touches,away_touches,home_passes,away_passes,home_tackles,away_tackles,home_clearances,away_clearances,home_corners,away_corners,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls,away_fouls,referee
10/08/2018,18/19,"Old Trafford, Manchester",Manchester United,Leicester,1,0,2,1,0.46,0.53,6,4,8,13,697,744,485,543,26,14,37,14,2,5,4,2,2,1,0,0,11,8,Andre Marriner
11/08/2018,18/19,"St. James' Park, Newcastle",Newcastle United,Tottenham,1,2,1,2,0.4,0.59,2,5,15,15,622,809,387,573,15,27,17,43,3,5,1,0,2,2,0,0,11,12,Martin Atkinson
11/08/2018,18/19,"Vicarage Road, Watford",Watford,Brighton,1,0,2,0,0.53,0.46,5,0,19,6,614,578,437,385,17,17,11,26,8,2,0,3,2,2,0,0,10,16,Jonathan Moss
11/08/2018,18/19,"John Smith's Stadium, Huddersfield",Huddersfield,Chelsea,0,2,0,3,0.37,0.62,1,4,6,13,550,856,372,658,25,12,13,21,2,5,2,1,2,1,0,0,9,8,Chris Kavanagh
11/08/2018,18/19,"Craven Cottage, London",Fulham,Crystal Palace,0,1,0,2,0.66,0.33,6,10,15,12,893,564,672,347,25,21,22,30,5,5,2,3,1,2,0,0,9,11,Mike Dean
11/08/2018,18/19,"Vitality Stadium, Bournemouth",Bournemouth,Cardiff City,1,0,2,0,0.62,0.37,4,1,12,10,711,483,502,287,11,22,37,30,7,4,0,2,1,1,0,0,11,9,Kevin Friend
11/08/2018,18/19,"Molineux Stadium, Wolverhampton",Wolverhampton Wanderers,Everton,1,1,2,2,0.57,0.42,4,5,11,8,748,589,547,409,13,23,23,28,3,6,2,3,0,1,0,1,8,7,Craig Pawson
12/08/2018,18/19,"St. Mary's Stadium, Southampton",Southampton,Burnley,0,0,0,0,0.47,0.52,3,6,18,16,558,591,369,408,16,9,31,35,8,5,2,5,0,1,0,0,10,9,Graham Scott
12/08/2018,18/19,"Anfield, Liverpool",Liverpool,West Ham,2,0,4,0,0.64,0.35,8,2,18,5,843,551,673,360,19,23,8,20,5,4,5,3,1,2,0,0,14,9,Anthony Taylor
12/08/2018,18/19,"Emirates Stadium, London",Arsenal,Man City,0,1,0,2,0.42,0.58,3,8,9,17,593,734,401,555,22,6,23,9,2,9,7,2,2,2,0,0,11,14,Michael Oliver
18/08/2018,18/19,"Cardiff City Stadium, Cardiff",Cardiff City,Newcastle United,0,0,0,0,0.51,0.48,1,6,12,12,533,503,314,305,22,12,41,25,5,5,2,0,2,2,0,1,14,16,Craig Pawson
18/08/2018,18/19,"London Stadium, London",West Ham,Bournemouth,1,0,1,2,0.61,0.39,5,5,11,12,671,515,494,321,21,11,18,31,6,4,1,0,6,2,0,0,14,10,Stuart Attwell
18/08/2018,18/19,"Wembley Stadium, London",Tottenham,Fulham,1,0,3,1,0.59,0.4,11,3,25,10,803,615,629,435,12,13,8,39,5,2,1,3,0,0,0,0,9,5,Anthony Taylor
18/08/2018,18/19,"King Power Stadium, Leicester",Leicester,Wolverhampton Wanderers,2,0,2,0,0.42,0.57,2,3,6,11,610,698,382,500,24,18,33,15,1,9,0,1,2,1,1,0,10,8,Mike Dean
