date,season,venue,home_team,away_team,ht_home_score,ht_away_score,home_score,away_score,home_possession_%,away_possession_%,home_shots_on_target,away_shots_on_target,home_shots,away_shots,home_touches,away_touches,home_passes,away_passes,home_tackles,away_tackles,home_clearances,away_clearances,home_corners,away_corners,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls,away_fouls,referee
11/08/2017,17/18,"Emirates Stadium, London",Arsenal,Leicester,2,2,4,3,0.7,0.3,10,3,27,6,859,459,632,263,23,17,30,24,9,4,5,3,0,1,0,0,9,12,Mike Dean
12/08/2017,17/18,"Vicarage Road, Watford",Watford,Liverpool,2,1,3,3,0.45,0.54,4,5,9,14,595,682,395,477,19,20,28,22,3,3,3,1,0,3,0,0,14,8,Anthony Taylor
12/08/2017,17/18,"The Hawthorns, West Bromwich",West Brom,Bournemouth,1,0,1,0,0.28,0.71,6,2,16,9,419,775,242,612,19,16,26,17,8,2,2,0,3,1,0,0,15,3,Robert Madley
12/08/2017,17/18,"St. Mary's Stadium, Southampton",Southampton,Swansea,0,0,0,0,0.59,0.4,2,0,29,4,707,532,518,365,12,11,11,38,13,0,0,1,2,1,0,0,10,13,Mike Jones
12/08/2017,17/18,"Goodison Park, Liverpool",Everton,Stoke,1,0,1,0,0.61,0.38,4,1,9,9,702,521,497,292,17,18,43,24,6,7,2,6,1,1,0,0,13,10,Neil Swarbrick
12/08/2017,17/18,"Selhurst Park, London",Crystal Palace,Huddersfield,0,2,0,3,0.56,0.43,4,6,14,9,632,500,391,306,24,28,18,29,12,9,0,2,1,3,0,0,7,19,Jonathan Moss
12/08/2017,17/18,"Stamford Bridge, London",Chelsea,Burnley,0,3,2,3,0.61,0.38,6,5,19,10,692,485,521,320,10,8,22,42,8,5,2,1,3,3,2,0,16,11,Craig Pawson
12/08/2017,17/18,"Amex Stadium, Falmer",Brighton,Man City,0,0,0,2,0.21,0.78,2,4,6,14,375,918,213,768,10,10,39,8,3,10,6,1,0,2,0,0,6,9,Michael Oliver
13/08/2017,17/18,"St. James' Park, Newcastle",Newcastle United,Tottenham,0,0,0,2,0.26,0.73,2,6,6,18,430,892,245,702,12,16,29,22,5,7,2,1,1,2,1,0,6,10,Andre Marriner
13/08/2017,17/18,"Old Trafford, Manchester",Manchester United,West Ham,1,0,4,0,0.55,0.44,5,1,21,9,693,584,493,397,14,21,19,26,11,1,1,4,2,2,0,0,19,7,Martin Atkinson
19/08/2017,17/18,"Liberty Stadium, Swansea",Swansea,Manchester United,0,1,0,4,0.41,0.59,0,8,5,17,592,800,406,601,21,16,28,26,3,5,1,0,1,1,0,0,12,11,Jonathan Moss
19/08/2017,17/18,"St. Mary's Stadium, Southampton",Southampton,West Ham,2,1,3,2,0.66,0.33,5,8,14,16,725,455,569,287,10,12,19,38,7,2,1,0,1,1,0,1,18,10,Lee Mason
19/08/2017,17/18,"Anfield, Liverpool",Liverpool,Crystal Palace,0,0,1,0,0.72,0.27,13,1,23,4,908,483,712,273,24,21,11,26,4,2,2,4,1,3,0,0,12,13,Kevin Friend
19/08/2017,17/18,"King Power Stadium, Leicester",Leicester,Brighton,1,0,2,0,0.45,0.54,4,2,14,5,593,688,427,526,11,11,16,20,6,2,1,2,1,0,0,0,8,10,Lee Probert
19/08/2017,17/18,"Turf Moor, Burnley",Burnley,West Brom,0,0,0,1,0.67,0.32,0,1,20,8,665,405,471,228,9,9,33,36,5,5,1,3,1,0,0,1,11,11,Martin Atkinson
19/08/2017,17/18,"Vitality Stadium, Bournemouth",Bournemouth,Watford,0,0,0,2,0.55,0.44,2,7,6,19,617,558,438,338,11,20,31,28,8,5,1,7,1,3,0,0,6,14,Roger East
19/08/2017,17/18,"bet365 Stadium, Stoke",Stoke,Arsenal,0,0,1,0,0.22,0.77,4,6,11,18,395,908,213,731,19,15,35,9,2,9,4,3,0,0,0,0,6,11,Andre Marriner
20/08/2017,17/18,"Wembley Stadium, London",Tottenham,Chelsea,0,1,1,2,0.67,0.32,6,2,18,9,820,498,592,280,14,31,14,40,14,3,0,0,4,3,0,0,14,21,Anthony Taylor
20/08/2017,17/18,"John Smith's Stadium, Huddersfield",Huddersfield,Newcastle United,0,0,1,0,0.52,0.47,3,5,7,13,674,611,456,415,24,18,29,27,7,3,4,5,3,4,0,0,13,10,Craig Pawson
21/08/2017,17/18,"Etihad Stadium, Manchester",Man City,Everton,0,1,1,1,0.65,0.34,6,2,19,7,745,477,560,301,12,19,6,30,7,1,0,3,1,2,1,1,7,9,Robert Madley
26/08/2017,17/18,"Vitality Stadium, Bournemouth",Bournemouth,Man City,1,1,1,2,0.29,0.7,3,8,9,19,450,849,258,604,20,13,31,35,2,5,0,3,5,4,0,1,13,14,Mike Dean
26/08/2017,17/18,"Vicarage Road, Watford",Watford,Brighton,0,0,0,0,0.42,0.57,0,2,8,16,514,611,334,433,10,12,36,22,3,11,0,5,0,1,1,0,7,18,Graham Scott
26/08/2017,17/18,"St. James' Park, Newcastle",Newcastle United,West Ham,1,0,3,0,0.37,0.62,8,3,17,8,457,661,271,473,14,17,21,22,7,5,0,2,1,3,0,0,17,11,Neil Swarbrick
26/08/2017,17/18,"Selhurst Park, London",Crystal Palace,Swansea,0,1,0,2,0.53,0.46,3,3,16,7,674,618,504,464,16,20,9,28,1,1,0,3,4,1,0,0,9,6,Andre Marriner
26/08/2017,17/18,"Old Trafford, Manchester",Manchester United,Leicester,0,0,2,0,0.69,0.3,7,4,22,11,863,493,662,300,9,22,17,41,9,3,2,3,1,2,0,0,8,7,Michael Oliver
26/08/2017,17/18,"John Smith's Stadium, Huddersfield",Huddersfield,Southampton,0,0,0,0,0.44,0.55,6,3,16,6,581,704,378,502,17,16,19,29,5,4,0,3,0,1,0,0,10,10,Stuart Attwell
27/08/2017,17/18,"The Hawthorns, West Bromwich",West Brom,Stoke,0,0,1,1,0.42,0.57,2,2,10,16,494,649,314,438,17,20,24,40,10,4,2,0,2,2,0,0,10,9,Anthony Taylor
27/08/2017,17/18,"Stamford Bridge, London",Chelsea,Everton,2,0,2,0,0.56,0.43,7,0,18,7,761,624,583,437,14,17,23,28,6,3,0,0,2,2,0,0,12,7,Jonathan Moss
27/08/2017,17/18,"Wembley Stadium, London",Tottenham,Burnley,0,0,1,1,0.67,0.32,5,3,28,13,765,474,588,272,9,16,19,36,10,7,1,6,0,0,0,0,9,9,Lee Mason
27/08/2017,17/18,"Anfield, Liverpool",Liverpool,Arsenal,2,0,4,0,0.48,0.51,10,0,18,8,685,715,507,539,19,13,19,21,4,3,3,5,2,4,0,0,6,9,Martin Atkinson
09/09/2017,17/18,"St. Mary's Stadium, Southampton",Southampton,Watford,0,1,0,2,0.52,0.47,1,3,9,12,637,601,423,384,19,19,22,34,7,4,2,1,0,0,0,0,8,11,Lee Probert
