date,season,venue,home_team,away_team,ht_home_score,ht_away_score,home_score,away_score,home_possession_%,away_possession_%,home_shots_on_target,away_shots_on_target,home_shots,away_shots,home_touches,away_touches,home_passes,away_passes,home_tackles,away_tackles,home_clearances,away_clearances,home_corners,away_corners,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls,away_fouls,referee
18/08/2012,12/13,"Boleyn Ground, London",West Ham,Aston Villa,1,0,1,0,0.34,0.65,2,2,8,13,480,759,277,566,18,24,37,37,6,4,0,2,0,1,0,0,17,9,Mike Dean
18/08/2012,12/13,"Emirates Stadium, London",Arsenal,Sunderland,0,0,0,0,0.7,0.29,3,2,23,4,899,474,703,294,16,28,7,34,7,0,2,1,0,0,0,0,12,9,Chris Foy
18/08/2012,12/13,"The Hawthorns, West Bromwich",West Brom,Liverpool,1,0,3,0,0.4,0.59,6,2,18,16,508,711,349,523,19,15,10,29,7,3,2,4,1,4,0,1,11,12,Phil Dowd
18/08/2012,12/13,"Madejski Stadium, Reading",Reading,Stoke,0,1,1,1,0.52,0.47,2,3,10,11,520,467,299,264,13,17,57,43,4,3,1,3,2,4,0,1,11,17,Kevin Friend
18/08/2012,12/13,"Loftus Road, London",Queens Park Rangers,Swansea,0,1,0,5,0.49,0.5,4,6,21,13,610,632,423,434,19,19,15,43,5,3,0,2,2,2,0,0,12,16,Lee Probert
18/08/2012,12/13,"Craven Cottage, London",Fulham,Norwich City,2,0,5,0,0.59,0.4,9,2,15,9,734,527,568,376,11,16,28,24,6,3,2,1,0,0,0,0,12,11,Michael Oliver
18/08/2012,12/13,"St James' Park, Newcastle",Newcastle United,Tottenham,0,0,2,1,0.51,0.48,3,4,7,15,603,568,405,373,18,17,35,31,3,5,3,2,2,2,0,0,13,9,Martin Atkinson
19/08/2012,12/13,"DW Stadium, Wigan",Wigan Athletic,Chelsea,0,2,0,2,0.52,0.48,4,4,15,6,643,639,473,456,23,17,6,29,7,1,0,2,2,2,0,0,17,11,Mike Jones
19/08/2012,12/13,"Etihad Stadium, Manchester",Man City,Southampton,1,0,3,2,0.64,0.35,8,2,23,10,884,569,689,374,19,26,16,31,7,3,2,1,1,2,0,0,4,7,Howard Webb
20/08/2012,12/13,"Goodison Park, Liverpool",Everton,Manchester United,0,0,1,0,0.3,0.69,7,4,18,14,485,850,275,646,19,15,42,33,6,8,0,1,1,2,0,0,13,11,Andre Marriner
22/08/2012,12/13,"Stamford Bridge, London",Chelsea,Reading,1,2,4,2,0.71,0.28,6,4,27,7,856,419,651,234,13,10,28,38,1,5,0,0,0,2,0,0,13,14,Lee Mason
25/08/2012,12/13,"Villa Park, Birmingham",Aston Villa,Everton,0,3,1,3,0.39,0.6,3,6,9,21,496,699,321,507,18,14,22,31,1,9,2,3,1,0,1,0,12,12,Michael Oliver
25/08/2012,12/13,"Stamford Bridge, London",Chelsea,Newcastle United,2,0,2,0,0.52,0.47,6,3,12,11,667,641,513,451,17,18,22,27,2,3,1,3,1,0,0,0,8,11,Phil Dowd
25/08/2012,12/13,"Old Trafford, Manchester",Manchester United,Fulham,3,1,3,2,0.59,0.4,7,6,20,16,804,608,614,409,25,24,20,34,8,8,1,0,0,1,0,0,12,7,Kevin Friend
25/08/2012,12/13,"Carrow Road, Norwich",Norwich City,Queens Park Rangers,1,1,1,1,0.55,0.44,3,3,15,8,542,503,360,290,22,11,23,50,6,2,2,5,0,2,0,0,17,13,Mark Clattenburg
25/08/2012,12/13,"The Friends Provident St Mary's Stadium, Southampton",Southampton,Wigan Athletic,0,0,0,2,0.49,0.5,6,4,16,13,653,668,451,484,12,27,21,28,10,3,0,2,0,0,0,0,11,9,Anthony Taylor
25/08/2012,12/13,"White Hart Lane, London",Tottenham,West Brom,0,0,1,1,0.59,0.41,7,6,22,13,689,533,487,343,22,17,28,22,7,5,2,3,1,3,0,0,9,6,Mike Dean
25/08/2012,12/13,"Liberty Stadium, Swansea",Swansea,West Ham,2,0,3,0,0.62,0.37,5,5,12,9,808,523,629,376,20,28,35,18,5,4,4,2,2,4,0,0,14,19,Martin Atkinson
26/08/2012,12/13,"bet365 Stadium, Stoke",Stoke,Arsenal,0,0,0,0,0.33,0.66,1,2,6,17,457,747,240,517,28,28,42,31,0,11,2,1,2,0,0,0,10,9,Lee Mason
26/08/2012,12/13,"Anfield, Liverpool",Liverpool,Man City,1,0,2,2,0.48,0.51,3,3,17,11,658,694,462,484,18,26,20,41,4,4,0,1,1,0,0,0,10,8,Andre Marriner
01/09/2012,12/13,"The Hawthorns, West Bromwich",West Brom,Everton,0,0,2,0,0.44,0.55,5,2,12,13,529,639,366,451,10,21,22,41,6,3,5,1,1,4,0,0,12,16,Jonathan Moss
01/09/2012,12/13,"Etihad Stadium, Manchester",Man City,Queens Park Rangers,1,0,3,1,0.59,0.4,7,4,18,11,832,605,634,421,19,22,31,29,8,3,3,0,2,1,0,0,12,3,Chris Foy
01/09/2012,12/13,"Liberty Stadium, Swansea",Swansea,Sunderland,1,2,2,2,0.63,0.36,7,2,15,4,815,507,622,354,21,31,28,19,8,0,0,0,1,1,1,0,13,7,Roger East
01/09/2012,12/13,"White Hart Lane, London",Tottenham,Norwich City,0,0,1,1,0.61,0.38,5,4,15,12,708,506,510,308,20,17,40,32,4,2,4,0,1,0,1,0,7,12,Mark Halsey
01/09/2012,12/13,"DW Stadium, Wigan",Wigan Athletic,Stoke,1,1,2,2,0.68,0.31,3,7,13,19,715,422,540,228,13,20,24,20,2,1,1,5,1,2,0,0,15,11,Martin Atkinson
01/09/2012,12/13,"Boleyn Ground, London",West Ham,Fulham,3,0,3,0,0.45,0.54,6,9,16,15,659,757,453,554,26,21,33,18,6,6,1,2,0,0,0,0,12,5,Anthony Taylor
02/09/2012,12/13,"St James' Park, Newcastle",Newcastle United,Aston Villa,0,1,1,1,0.51,0.48,4,5,17,13,615,566,389,364,11,29,31,25,10,6,3,0,1,4,0,0,6,21,Lee Probert
02/09/2012,12/13,"The Friends Provident St Mary's Stadium, Southampton",Southampton,Manchester United,1,1,2,3,0.45,0.54,4,7,15,20,680,782,487,587,21,16,27,33,4,7,2,2,1,0,0,0,8,4,Mike Dean
02/09/2012,12/13,"Anfield, Liverpool",Liverpool,Arsenal,0,1,0,2,0.53,0.47,4,5,19,11,757,719,544,491,25,32,17,36,10,2,3,1,2,2,0,0,12,7,Howard Webb
15/09/2012,12/13,"Stadium of Light, Sunderland",Sunderland,Liverpool,1,0,1,1,0.34,0.65,1,6,7,23,496,809,306,611,25,27,20,19,2,7,1,1,1,2,0,0,18,12,Martin Atkinson
15/09/2012,12/13,"Loftus Road, London",Queens Park Rangers,Chelsea,0,0,0,0,0.52,0.47,3,4,12,12,669,602,451,401,33,22,43,19,2,4,3,1,0,2,0,0,18,18,Andre Marriner
15/09/2012,12/13,"bet365 Stadium, Stoke",Stoke,Man City,1,1,1,1,0.33,0.66,2,8,4,15,494,781,287,585,22,20,32,24,6,5,2,1,0,1,0,0,13,12,Mark Clattenburg
15/09/2012,12/13,"Old Trafford, Manchester",Manchester United,Wigan Athletic,0,0,4,0,0.52,0.47,5,1,20,7,627,562,424,388,20,19,20,25,5,5,1,0,2,2,0,0,10,14,Michael Oliver
15/09/2012,12/13,"Craven Cottage, London",Fulham,West Brom,2,0,3,0,0.63,0.37,10,5,23,10,847,533,638,373,14,18,14,23,5,4,3,1,0,0,0,1,7,10,Roger East
15/09/2012,12/13,"Villa Park, Birmingham",Aston Villa,Swansea,1,0,2,0,0.42,0.57,8,3,16,10,552,694,327,474,18,19,24,61,10,4,2,1,3,1,0,0,13,4,Lee Mason
15/09/2012,12/13,"Emirates Stadium, London",Arsenal,Southampton,4,1,6,1,0.5,0.5,9,3,23,10,778,758,567,574,21,27,19,29,8,3,0,0,0,0,0,0,4,7,Kevin Friend
15/09/2012,12/13,"Carrow Road, Norwich",Norwich City,West Ham,0,0,0,0,0.48,0.51,9,3,25,14,561,573,365,373,15,16,33,42,8,5,3,3,0,1,0,0,12,14,Chris Foy
16/09/2012,12/13,"Madejski Stadium, Reading",Reading,Tottenham,0,1,1,3,0.42,0.57,2,8,6,23,527,679,314,479,18,21,20,44,7,4,1,1,0,1,0,0,5,12,Howard Webb
17/09/2012,12/13,"Goodison Park, Liverpool",Everton,Newcastle United,1,0,2,2,0.58,0.41,6,3,18,11,631,510,406,294,17,22,40,56,3,3,3,3,3,3,0,0,18,13,Mike Jones
22/09/2012,12/13,"Stamford Bridge, London",Chelsea,Stoke,0,0,1,0,0.59,0.4,4,3,19,13,652,524,466,306,18,20,16,43,13,3,2,2,2,1,0,0,14,18,Michael Oliver
22/09/2012,12/13,"Liberty Stadium, Swansea",Swansea,Everton,0,2,0,3,0.48,0.51,4,11,18,31,583,611,393,414,16,11,33,31,8,3,1,3,4,1,1,0,23,9,Anthony Taylor
22/09/2012,12/13,"The Friends Provident St Mary's Stadium, Southampton",Southampton,Aston Villa,0,1,4,1,0.6,0.39,7,2,16,11,734,525,492,314,25,20,39,36,1,4,5,3,1,3,0,0,6,15,Jonathan Moss
22/09/2012,12/13,"Boleyn Ground, London",West Ham,Sunderland,0,1,1,1,0.61,0.38,4,1,24,5,681,505,454,291,23,28,29,48,10,1,1,1,2,1,0,0,13,13,Lee Mason
22/09/2012,12/13,"DW Stadium, Wigan",Wigan Athletic,Fulham,0,1,1,2,0.63,0.36,5,7,19,12,750,509,581,320,16,9,17,34,8,7,4,0,0,3,0,0,7,13,Lee Probert
22/09/2012,12/13,"The Hawthorns, West Bromwich",West Brom,Reading,0,0,1,0,0.52,0.47,4,1,11,10,631,599,440,382,11,14,27,33,9,1,1,1,1,0,0,0,15,7,Chris Foy
23/09/2012,12/13,"White Hart Lane, London",Tottenham,Queens Park Rangers,0,1,2,1,0.43,0.56,8,4,20,9,580,655,336,459,19,18,57,31,10,9,2,3,0,2,0,0,8,12,Phil Dowd
23/09/2012,12/13,"St James' Park, Newcastle",Newcastle United,Norwich City,1,0,1,0,0.52,0.47,6,3,18,10,642,553,430,368,17,15,45,33,4,5,3,1,1,1,0,0,11,20,Neil Swarbrick
23/09/2012,12/13,"Anfield, Liverpool",Liverpool,Manchester United,0,0,1,2,0.52,0.48,6,3,14,8,657,636,459,420,23,29,19,44,7,3,0,1,1,2,1,0,14,7,Mark Halsey
